original,wind_speed,wind_dir,unit,timestamp_str,timestamp_obj
202512261730 METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG=,3,60,KT,261730,2025-12-27 02:39:12.760207
202512261730 METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG=,3,60,KT,261730,2025-12-27 02:41:51.462164
202512261730 METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG=,3,60,KT,261730,2025-12-27 02:49:13.778271
202512261730 METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG=,3,60,KT,261730,2025-12-27 02:51:52.904791
202512261730 METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG=,3,60,KT,261730,2025-12-27 02:59:14.686678
202512261730 METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG=,3,60,KT,261730,2025-12-27 03:01:54.321615
202512261730 METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG=,3,60,KT,261730,2025-12-27 03:09:15.561618
202512261730 METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG=,3,60,KT,261730,2025-12-27 03:11:55.207491
202512261730 METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG=,3,60,KT,261730,2025-12-27 03:19:16.870358
202512261730 METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG=,3,60,KT,261730,2025-12-27 03:21:56.472880
202512261730 METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG=,3,60,KT,261730,2025-12-27 03:29:17.545966
202512261730 METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG=,3,60,KT,261730,2025-12-27 03:31:57.491611
202512261730 METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG=,3,60,KT,261730,2025-12-27 03:39:18.251107
202512261730 METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG=,3,60,KT,261730,2025-12-27 03:41:58.515681
202512261730 METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG=,3,60,KT,261730,2025-12-27 03:49:19.004292
202512261730 METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG=,3,60,KT,261730,2025-12-27 03:51:59.420052
202512261730 METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG=,3,60,KT,261730,2025-12-27 03:59:28.146408
202512261730 METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG=,3,60,KT,261730,2025-12-27 04:02:00.382297
202512261730 METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG=,3,60,KT,261730,2025-12-27 04:09:29.753214
202512261730 METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG=,3,60,KT,261730,2025-12-27 04:12:01.313497
202512261730 METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG=,3,60,KT,261730,2025-12-27 04:19:30.558726
